# time_ps avg_intrachain_contacts
176400.000000 80.3738308597
176600.000000 79.2482570919
176800.000000 80.0529943268
177000.000000 81.8774955460
177200.000000 80.5639539021
177400.000000 79.9910165735
177600.000000 79.2811410588
177800.000000 81.0908254414
178000.000000 81.0658726326
178200.000000 83.4332300370
178400.000000 83.9617170557
178600.000000 82.8296760426
178800.000000 82.3490378121
179000.000000 84.0609112546
179200.000000 83.5354275610
179400.000000 81.6730055295
179600.000000 81.7611556274
179800.000000 82.1141026398
180000.000000 82.3514590702
180200.000000 82.6765889108
180400.000000 82.9891501613
180600.000000 81.8861982650
180800.000000 82.0138361972
181000.000000 80.6147255320
181200.000000 82.8674731375
181400.000000 81.7788643155
181600.000000 81.0509370441
181800.000000 80.0545591069
182000.000000 79.9304745738
182200.000000 82.4038617865
182400.000000 82.1591714451
182600.000000 82.4835965201
182800.000000 81.6992254459
183000.000000 82.6173488014
183200.000000 82.8212464436
183400.000000 80.9612219416
183600.000000 80.1501447834
183800.000000 80.3258850973
184000.000000 80.9131150382
184200.000000 79.3426759399
184400.000000 79.6059510028
184600.000000 79.0970296592
184800.000000 78.2841388586
185000.000000 78.9075826673
185200.000000 77.6516681324
185400.000000 79.1888163206
185600.000000 80.1963591434
185800.000000 82.0429354672
186000.000000 80.1813882326
186200.000000 81.5760672897
186400.000000 80.2160295634
186600.000000 79.2239700461
186800.000000 80.4089731581
187000.000000 79.4390043690
187200.000000 79.5592195747
187400.000000 80.1506321988
187600.000000 80.5890641812
187800.000000 80.1402692329
188000.000000 82.1445049855
188200.000000 80.8885125202
188400.000000 80.5767280937
188600.000000 81.3681639733
188800.000000 81.3167230421
189000.000000 81.6823396741
189200.000000 81.6233774685
189400.000000 80.6760329573
189600.000000 79.5413171844
189800.000000 79.1779187121
190000.000000 79.9992206010
190200.000000 81.8742214775
190400.000000 80.4869995593
190600.000000 81.2246787150
190800.000000 81.5776894459
191000.000000 82.7404567593
191200.000000 83.3598370603
191400.000000 81.9622490029
191600.000000 80.5797551013
191800.000000 80.2993340960
192000.000000 80.6182516364
192200.000000 80.5798500949
192400.000000 79.9193260517
192600.000000 77.7717595945
192800.000000 78.5786740016
193000.000000 77.4743486419
193200.000000 78.4787934884
193400.000000 77.1810403858
193600.000000 77.8969950905
193800.000000 77.5673479998
194000.000000 79.5554652208
194200.000000 79.3486613054
194400.000000 77.5252809282
194600.000000 77.5671069268
194800.000000 77.8644481253
195000.000000 79.1146354664
195200.000000 77.0605372179
195400.000000 77.6475313832
195600.000000 77.8533437239
195800.000000 77.9153866647
196000.000000 78.1240005275
196200.000000 79.5530991755
196400.000000 80.7954372455
196600.000000 82.5960551464
196800.000000 81.8392035926
197000.000000 81.1043360673
197200.000000 79.9398988581
197400.000000 81.1851734866
197600.000000 80.0154999748
197800.000000 80.1262957886
198000.000000 79.1833798953
198200.000000 78.9461367462
198400.000000 79.4275599975
198600.000000 78.0899937883
198800.000000 77.5587991582
199000.000000 78.6790665904
199200.000000 80.1604331130
199400.000000 80.9447691677
199600.000000 80.5220646549
199800.000000 80.0875871409
200000.000000 79.9351564081
200200.000000 79.2837990049
200400.000000 80.6073011639
200600.000000 79.5476060046
200800.000000 79.4211945401
201000.000000 79.8269420336
201200.000000 79.1443551482
201400.000000 79.3679409019
201600.000000 81.6429080862
201800.000000 83.1016951865
202000.000000 81.1663751067
202200.000000 80.3042295512
202400.000000 80.6599238700
202600.000000 79.5918782357
202800.000000 80.3635467647
203000.000000 79.2858176647
203200.000000 78.3005015860
203400.000000 78.1354223494
203600.000000 80.1714344088
203800.000000 79.3639944591
204000.000000 79.5126071083
204200.000000 79.2917565025
204400.000000 78.5745053874
204600.000000 79.2778522613
204800.000000 78.0928742853
205000.000000 76.5392818294
205200.000000 75.7807259453
